Résultats de test
Image 900 (happy):
Neurone 0: 0
Neurone 1: 0

Image 901 (happy):
Neurone 0: 0
Neurone 1: 0

Image 902 (happy):
Neurone 0: 0
Neurone 1: 0

Image 903 (happy):
Neurone 0: 0
Neurone 1: 0

Image 904 (happy):
Neurone 0: 0
Neurone 1: 0

Image 905 (happy):
Neurone 0: 0
Neurone 1: 0

Image 906 (happy):
Neurone 0: 0
Neurone 1: 0

Image 907 (happy):
Neurone 0: 0
Neurone 1: 0

Image 908 (happy):
Neurone 0: 0
Neurone 1: 0

Image 909 (happy):
Neurone 0: 0
Neurone 1: 0

Image 910 (happy):
Neurone 0: 1
Neurone 1: 1

Image 911 (happy):
Neurone 0: 1
Neurone 1: 1

Image 912 (happy):
Neurone 0: 0
Neurone 1: 0

Image 913 (happy):
Neurone 0: 0
Neurone 1: 0

Image 914 (happy):
Neurone 0: 0
Neurone 1: 0

Image 915 (happy):
Neurone 0: 0
Neurone 1: 0

Image 916 (happy):
Neurone 0: 0
Neurone 1: 0

Image 917 (happy):
Neurone 0: 0
Neurone 1: 0

Image 918 (happy):
Neurone 0: 0
Neurone 1: 0

Image 919 (happy):
Neurone 0: 0
Neurone 1: 0

Image 920 (happy):
Neurone 0: 0
Neurone 1: 0

Image 921 (happy):
Neurone 0: 0
Neurone 1: 0

Image 922 (happy):
Neurone 0: 0
Neurone 1: 0

Image 923 (happy):
Neurone 0: 0
Neurone 1: 0

Image 924 (happy):
Neurone 0: 0
Neurone 1: 0

Image 925 (happy):
Neurone 0: 0
Neurone 1: 0

Image 926 (happy):
Neurone 0: 1
Neurone 1: 1

Image 927 (happy):
Neurone 0: 1
Neurone 1: 1

Image 928 (happy):
Neurone 0: 0
Neurone 1: 0

Image 929 (happy):
Neurone 0: 0
Neurone 1: 0

Image 930 (happy):
Neurone 0: 0
Neurone 1: 0

Image 931 (happy):
Neurone 0: 0
Neurone 1: 0

Image 932 (happy):
Neurone 0: 0
Neurone 1: 0

Image 933 (happy):
Neurone 0: 0
Neurone 1: 0

Image 934 (happy):
Neurone 0: 0
Neurone 1: 0

Image 935 (happy):
Neurone 0: 0
Neurone 1: 0

Image 936 (happy):
Neurone 0: 0
Neurone 1: 0

Image 937 (happy):
Neurone 0: 0
Neurone 1: 0

Image 938 (happy):
Neurone 0: 0
Neurone 1: 0

Image 939 (happy):
Neurone 0: 0
Neurone 1: 0

Image 940 (happy):
Neurone 0: 0
Neurone 1: 0

Image 941 (happy):
Neurone 0: 0
Neurone 1: 0

Image 942 (happy):
Neurone 0: 0
Neurone 1: 0

Image 943 (happy):
Neurone 0: 0
Neurone 1: 0

Image 944 (happy):
Neurone 0: 1
Neurone 1: 1

Image 945 (happy):
Neurone 0: 2
Neurone 1: 2

Image 946 (happy):
Neurone 0: 2
Neurone 1: 2

Image 947 (happy):
Neurone 0: 2
Neurone 1: 2

Image 948 (happy):
Neurone 0: 2
Neurone 1: 2

Image 949 (happy):
Neurone 0: 2
Neurone 1: 2

Image 950 (happy):
Neurone 0: 2
Neurone 1: 2

Image 951 (happy):
Neurone 0: 2
Neurone 1: 2

Image 952 (happy):
Neurone 0: 2
Neurone 1: 2

Total:

Couche 1 :
Neurone ( 0 ) :  2339
Neurone ( 1 ) :  2214
Neurone ( 2 ) :  760
Neurone ( 3 ) :  563
Neurone ( 4 ) :  1259
Neurone ( 5 ) :  1263
Neurone ( 6 ) :  935
Neurone ( 7 ) :  988
Neurone ( 8 ) :  1359
Neurone ( 9 ) :  1710
Neurone ( 10 ) :  2199
Neurone ( 11 ) :  2814
Neurone ( 12 ) :  2929
Neurone ( 13 ) :  3037
Neurone ( 14 ) :  3042
Neurone ( 15 ) :  3484
Neurone ( 16 ) :  3260
Neurone ( 17 ) :  1971
Neurone ( 18 ) :  1477
Neurone ( 19 ) :  1768
Neurone ( 20 ) :  1601
Neurone ( 21 ) :  1131
Neurone ( 22 ) :  1482
Neurone ( 23 ) :  2210
Neurone ( 24 ) :  1802
Neurone ( 25 ) :  1400
Neurone ( 26 ) :  1671
Neurone ( 27 ) :  2381
Neurone ( 28 ) :  2114
Neurone ( 29 ) :  2162
Neurone ( 30 ) :  3447
Neurone ( 31 ) :  3809
Neurone ( 32 ) :  2236
Neurone ( 33 ) :  1668
Neurone ( 34 ) :  2331
Neurone ( 35 ) :  2323
Neurone ( 36 ) :  1171
Neurone ( 37 ) :  768
Neurone ( 38 ) :  2449
Neurone ( 39 ) :  2887

Couche 2 :
Neurone ( 0 ) :  5706
Neurone ( 1 ) :  8537
Neurone ( 2 ) :  4261
Neurone ( 3 ) :  9039
Neurone ( 4 ) :  4705
Neurone ( 5 ) :  6622
Neurone ( 6 ) :  7880
Neurone ( 7 ) :  6518
Neurone ( 8 ) :  6555
Neurone ( 9 ) :  7905
Neurone ( 10 ) :  6665
Neurone ( 11 ) :  7900
Neurone ( 12 ) :  3594
Neurone ( 13 ) :  8967
Neurone ( 14 ) :  5463
Neurone ( 15 ) :  8457
Neurone ( 16 ) :  3774
Neurone ( 17 ) :  8396
Neurone ( 18 ) :  5152
Neurone ( 19 ) :  9536

Couche 3 :
Neurone ( 0 ) :  628
Neurone ( 1 ) :  895
